TakaishiURECEIPT
2022/11/1							
2022/11/2							
2022/11/3		709					
2022/11/4	654	611					
2022/11/5	488						
2022/11/6	211						
2022/11/7	451	1053	968	284			
2022/11/8							
2022/11/9	298		209	1203			
2022/11/10	384	1240					
2022/11/11							
2022/11/12	15078	584	16500		2360	1276	
2022/11/13	159	3191	910		1089	719	
2022/11/14	1259	446	330				
2022/11/15	777						
2022/11/16							
2022/11/17	6600	2021	1788	736	3850		
2022/11/18	1589						
2022/11/19	3850	4375					
2022/11/20	792	2238					
2022/11/21	422						
2022/11/22							
2022/11/23							
2022/11/24	540	492					
2022/11/25							
2022/11/26	452	10380	1657				
2022/11/27	341	521	496				
2022/11/28	496	584		1373	578		
2022/11/29	346						
2022/11/30	1309												
